text,target
She walks to school every day.,0.38521429192297485
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.8339073000818308
The dog runs in the park.,0.14680559213273098
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.6299924747454009
The sun is bright today.,0.3598528437324806
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.6428600453765823
The sun is bright today.,0.10617534828874074
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.8165996316800475
I like to read books.,0.1545474901621302
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.7852444528883149
I like to read books.,0.2574269294896714
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.6069187275124247
The sun is bright today.,0.2835558684167139
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.6139996989640846
She walks to school every day.,0.20990855298810754
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.7147385973801488
She walks to school every day.,0.2777243706586128
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.8579821220208962
The dog runs in the park.,0.23514977559086292
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.884665661176
She walks to school every day.,0.26898646535366183
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.6913841307520112
The dog runs in the park.,0.16926814768664472
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.7320457481218804
She walks to school every day.,0.2485530730333811
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.8727961206236347
She walks to school every day.,0.1546708263364187
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.6935133228268233
I like to read books.,0.2703100983459975
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.8908753883293676
I like to read books.,0.23492624001092974
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.8684482051282947
She walks to school every day.,0.11356818667316143
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.7166031869068445
I like to read books.,0.26190763971672393
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.8895765921792413
She walks to school every day.,0.2628088249474746
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.6888820517112247
The dog runs in the park.,0.12236519310393126
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.8316734307889972
She walks to school every day.,0.18804645241541146
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.6596527212266415
The sun is bright today.,0.3370526621593617
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.6222133955202271
I like to read books.,0.13476071785753893
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.7869894380482674
I like to read books.,0.1286230349471234
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.8188818535014193
The sun is bright today.,0.2683730277543104
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.6358782737814905
The sun is bright today.,0.3282355145850693
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.6707954759246867
The sun is bright today.,0.25681984881459824
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.6076257380232285
The dog runs in the park.,0.16051576070061888
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.694306794322898
She walks to school every day.,0.37226994217782794
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.761952327390502
The dog runs in the park.,0.16863944964748676
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.8084354799119113
She walks to school every day.,0.378909295702772
Metacognitive strategies enable learners to monitor and regulate their cognitive processes effectively.,0.6886901057513142
The dog runs in the park.,0.3614381770563153
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.6655321311650501
She walks to school every day.,0.3677676995469934
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.6973035063015822
She walks to school every day.,0.2068893514230925
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.6816396748153906
The sun is bright today.,0.2281323365878769
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.7057706569002506
The sun is bright today.,0.10208563915935721
The epistemological foundations of modern science rest upon empirical observation and rigorous methodological frameworks.,0.7252233009446337
The dog runs in the park.,0.3077308098670811
"Socioeconomic disparities manifest themselves through multifaceted channels, perpetuating cycles of inequality across generations.",0.7012845514210884
The sun is bright today.,0.1969608796062266
The intricate mechanisms underlying quantum entanglement continue to perplex even the most distinguished physicists in the field.,0.7211508513174123
The cat sat on the mat.,0.17617462418030344
Constitutional jurisprudence necessitates careful consideration of both textual interpretation and historical context.,0.6755346887476092
I like to read books.,0.31368117697733267
